"sep=,"
ID,ID2,Title
SLES-51871,SLES_518.71,Disney/Pixar's Finding Nemo
SLES-51872,SLES_518.72,Disney/Pixar's Finding Nemo
SLES-51873,SLES_518.73,Medal of Honor - Rising Sun
SLES-51874,SLES_518.74,Medal of Honor - Soleil Levant
SLES-51875,SLES_518.75,Medal of Honor: Rising Sun
SLES-51876,SLES_518.76,Medal of Honor - Rising Sun
SLES-51877,SLES_518.77,Bloody Roar 4
SLES-51879,SLES_518.79,Hot Wheels - World Race
SLES-51881,SLES_518.81,World Racing
SLES-51883,SLES_518.83,Scooby-Doo! - Mistery Mayhem
SLES-51885,SLES_518.85,MEGAMAN X7
SLES-51886,SLES_518.86,Lethal Skies 2
SLES-51887,SLES_518.87,Tiger Woods PGA Tour 2004
SLES-51888,SLES_518.88,RTL Skijumping 2004
SLES-51890,SLES_518.90,BUFFY THE VAMPIRE SLAYER - CHAOS BLEEDS
SLES-51893,SLES_518.93,Naval Ops - Warship Gunner
SLES-51896,SLES_518.96,Attheraces Presents Gallop Racer
SLES-51897,SLES_518.97,The Simpsons: Hit & Run
SLES-51903,SLES_519.03,AFL Live 2004: Aussie Rules Football
SLES-51906,SLES_519.06,Rolling
SLES-51907,SLES_519.07,Disney/Pixar Alla Ricerca di Nemo
SLES-51908,SLES_519.08,Van Helsing
SLES-51911,SLES_519.11,Gadget Racers
SLES-51912,SLES_519.12,Pro Evolution Soccer 3
SLES-51913,SLES_519.13,Onimusha: Blade Warriors
SLES-51914,SLES_519.14,ONIMUSHA 3
SLES-51915,SLES_519.15,Pro Evolution Soccer 3
SLES-51916,SLES_519.16,"CROUCHING TIGER, HIDDEN DRAGON"
SLES-51917,SLES_519.17,Beyond Good and Evil
SLES-51918,SLES_519.18,Prince of Persia: The Sands of Time
SLES-51924,SLES_519.24,World War Zero – Ironstorm
SLES-51925,SLES_519.25,Splashdown 2 - Rides Gone Wild
SLES-51926,SLES_519.26,Outlaw Golf
SLES-51927,SLES_519.27,Midway Arcade Treasures
SLES-51930,SLES_519.30,Road Rage 3
SLES-51931,SLES_519.31,Teenage Mutant Ninja Turtles
SLES-51932,SLES_519.32,Jimmy Neutron - Jet Fusion
SLES-51933,SLES_519.33,Gregory Horror Show
SLES-51934,SLES_519.34,CURSE THE EYE OF ISIS
SLES-51946,SLES_519.46,Robin Hood - Defender of the Crown
SLES-51947,SLES_519.47,ESPN NFL 2K4
SLES-51948,SLES_519.48,ESPN NHL Hockey
SLES-51949,SLES_519.49,ESPN NBA Basketball
SLES-51950,SLES_519.50,Sonic Heroes
SLES-51951,SLES_519.51,Puyo Pop Fever
SLES-51952,SLES_519.52,R-Type Final
SLES-51953,SLES_519.53,FIFA Football 2004
SLES-51954,SLES_519.54,Max Payne 2: The Fall of Max Payne
SLES-51956,SLES_519.56,Bionicle
SLES-51957,SLES_519.57,Terminator 3 - Le Soulèvement des Machines
SLES-51958,SLES_519.58,Whiplash
SLES-51959,SLES_519.59,Football Generation
SLES-51963,SLES_519.63,FIFA Football 2004
SLES-51964,SLES_519.64,FIFA Football 2004
SLES-51966,SLES_519.66,Bombastic
SLES-51967,SLES_519.67,Need for Speed: Underground
SLES-51968,SLES_519.68,Nickelodeon SpongeBob SquarePants in: Battle for Bikini Bottom
SLES-51970,SLES_519.70,SpongeBob Schwammkopf: Schlacht um Bikini Bottom
SLES-51972,SLES_519.72,NBA Jam 2004
SLES-51973,SLES_519.73,War Chess
SLES-51974,SLES_519.74,XS Juniior League Soccer
SLES-51976,SLES_519.76,Tom Clancy's Ghost Recon - Jungle Storm
SLES-51978,SLES_519.78,BAPHOMETS FLUCH - DER SCHLAFENDE DRACHE
SLES-51980,SLES_519.80,TT Superbikes
SLES-51981,SLES_519.81,ShellShock - Nam '67
SLES-51982,SLES_519.82,ShellShock - Nam '67
SLES-51986,SLES_519.86,Backyard Wrestling - Don't Try This At Home
SLES-51989,SLES_519.89,Wallace & Gromit in Project Zoo
SLES-51990,SLES_519.90,Nicktoons - Attack of the Toybots
SLES-51991,SLES_519.91,Dance UK
SLES-51996,SLES_519.96,International Snooker Championship
SLES-51997,SLES_519.97,SWAT - Global Strike Team
SLES-51998,SLES_519.98,"Kao the Kangaroo - Round 2 "
SLES-51999,SLES_519.99,Groove Rider - Slot Car Thunder
SLES-52001,SLES_520.01,Mission Impossible - Operation Surma
SLES-52002,SLES_520.02,Rogue Ops
SLES-52005,SLES_520.05,007 - EVERYTHING OR NOTHING
SLES-52008,SLES_520.08,NBA Live 2004
SLES-52011,SLES_520.11,Tak and the Power of Juju
SLES-52015,SLES_520.15,LES CHEVALIERS DE BAPHOMET - LE MANUSCRIT DE VOYNICH
SLES-52017,SLES_520.17,The Lord of the Rings: The Return of the King
SLES-52018,SLES_520.18,Der Herr der Ringe: Die Rückkehr des Königs
SLES-52019,SLES_520.19,The Lord of the Rings - The Return of the King
SLES-52020,SLES_520.20,EL SEÑOR DE LOS ANILLOS - EL RETORNO DEL REY
SLES-52021,SLES_520.21,Il Signore degli anelli - Il ritorno del re
SLES-52022,SLES_520.22,Total Club Manager 2004
SLES-52023,SLES_520.23,Manhunt
SLES-52025,SLES_520.25,NFL Street
SLES-52026,SLES_520.26,Wallace & Gromit in Project Zoo
SLES-52028,SLES_520.28,Junior Sports Basketball
SLES-52033,SLES_520.33,Syphon Filter – The Omega Strain
SLES-52034,SLES_520.34,The Cat in the Hat
SLES-52036,SLES_520.36,WWE SmackDown! - Here Comes the Pain!
SLES-52038,SLES_520.38,Terminator 3 - Rebellion der Maschinen
SLES-52039,SLES_520.39,Terminator 3 - Rise of the Machines
SLES-52041,SLES_520.41,Detonator
SLES-52043,SLES_520.43,MX Unleashed
SLES-52044,SLES_520.44,Crescent Suzuki Racing - Superbikes and Super Sidecars
SLES-52045,SLES_520.45,GT R-400
SLES-52046,SLES_520.46,007 - EVERYTHING OR NOTHING
SLES-52047,SLES_520.47,The Sims - Busting Out
SLES-52048,SLES_520.48,The Sims - Busting Out
SLES-52055,SLES_520.55,Harry Potter And The Philosopher's Stone
SLES-52056,SLES_520.56,Harry Potter And The Philosopher's Stone
SLES-52058,SLES_520.58,Groove Rider - Slot Car Racing
SLES-52060,SLES_520.60,Fame Academy
SLES-52061,SLES_520.61,Star Academy
SLES-52062,SLES_520.62,Pop Star Academy
SLES-52063,SLES_520.63,Alarm for Cobra 11
SLES-52065,SLES_520.65,FLIPNIC
SLES-52095,SLES_520.95,GRADIUS V
SLES-52096,SLES_520.96,FIREFIGHTER F.D. 18
SLES-52097,SLES_520.97,SWAT - Global Strike Force
SLES-52100,SLES_521.00,NLR Rugby League
SLES-52101,SLES_521.01,Wrath Unleashed
SLES-52102,SLES_521.02,Hugo: Bukkazoom!
SLES-52103,SLES_521.03,Tak & Le Pouvoir de Juju
SLES-52104,SLES_521.04,Tak und die Macht des Juju
SLES-52106,SLES_521.06,Cabela's Dangerous Hunts
SLES-52107,SLES_521.07,Dance Europe
SLES-52108,SLES_521.08,Underworld - The Eternal War
SLES-52109,SLES_521.09,Underworld: The Eternal War
SLES-52111,SLES_521.11,Mojo!
SLES-52116,SLES_521.16,Sitting Ducks
SLES-52117,SLES_521.17,GO GO COPTER - REMOTE CONTROL HELICOPTER
SLES-52118,SLES_521.18,Castlevania: Lament of Innocence
SLES-52122,SLES_521.22,Crime Life - Gang Wars
SLES-52123,SLES_521.23,EA Sports Cricket 2004
SLES-52125,SLES_521.25,Agassi Tennis Generation
SLES-52132,SLES_521.32,Hitman - Contracts
SLES-52133,SLES_521.33,Hitman - Contracts
SLES-52134,SLES_521.34,Hitman - Contracts
SLES-52135,SLES_521.35,Hitman - Contracts
SLES-52136,SLES_521.36,Hitman - Contracts
SLES-52143,SLES_521.43,Carmen Sandiego: The Secret of the Stolen Drums
SLES-52149,SLES_521.49,Tom Clancy's Splinter Cell - Pandora Tomorrow
SLES-52150,SLES_521.50,Legacy of Kain - Defiance
SLES-52151,SLES_521.51,Terminator 3 - Le Macchine Ribelli
SLES-52152,SLES_521.52,Terminator 3 - Rise of the Machines
SLES-52153,SLES_521.53,Driver 3
SLES-52155,SLES_521.55,L'Eredità
SLES-52159,SLES_521.59,Myth Makers - Super Kart GP
SLES-52171,SLES_521.71,Dynasty Warriors 4 - Xtreme Legends
SLES-52172,SLES_521.72,Dynasty Warriors 4 - Xtreme Legends
SLES-52173,SLES_521.73,Dynasty Warriors 4 - Xtreme Legends
SLES-52174,SLES_521.74,Dynasty Warriors 4 - Xtreme Legends
SLES-52175,SLES_521.75,Dynasty Warriors 4: Xtreme Legends
SLES-52178,SLES_521.78,Casino Challenge
SLES-52179,SLES_521.79,Kaan: Barbarian's Blade
SLES-52187,SLES_521.87,Baldur's Gate: Dark Alliance II
SLES-52188,SLES_521.88,Baldur's Gate: Dark Alliance II
SLES-52190,SLES_521.90,RPM Tuning
SLES-52202,SLES_522.02,Downhill Domination
SLES-52203,SLES_522.03,Armored Core – Silent Line
SLES-52204,SLES_522.04,UFC - Sudden Impact
SLES-52209,SLES_522.09,Star Trek - Shattered Universe
SLES-52214,SLES_522.14,Disney's The Haunted Mansion
SLES-52216,SLES_522.16,Disney's The Haunted Mansion
SLES-52219,SLES_522.19,CORVETTE
SLES-52230,SLES_522.30,MUPPETS PARTY CRUISE
SLES-52237,SLES_522.37,Dot Hack Part 1: Infection
SLES-52238,SLES_522.38,NIGHTSHADE
SLES-52240,SLES_522.40,International Pool Championship
SLES-52241,SLES_522.41,Myth Makers - Orbs of Doom
SLES-52242,SLES_522.42,Dalmatians 3
SLES-52243,SLES_522.43,Dinosaur Adventure
SLES-52244,SLES_522.44,Legend of Hercules
SLES-52246,SLES_522.46,Pool Paradise
SLES-52247,SLES_522.47,The Hobbit: The Prelude to the Lord of the Rings
SLES-52249,SLES_522.49,Premier Manager 2003/2004
SLES-52256,SLES_522.56,Max Payne 2: The Fall of Max Payne
SLES-52257,SLES_522.57,P.T.O. IV - Pacific Theater of Operations IV
SLES-52258,SLES_522.58,Romance of the Three Kingdoms VIII
SLES-52259,SLES_522.59,Outlaw Volleyball
SLES-52265,SLES_522.65,ENERGY AIRFORCE - AIM STRIKE!
SLES-52266,SLES_522.66,ENERGY AIRFORCE - AIM STRIKE!
SLES-52267,SLES_522.67,ENERGY AIRFORCE - AIM STRIKE!
SLES-52275,SLES_522.75,Way of the Samurai 2
SLES-52276,SLES_522.76,187 - RIDE OR DIE
SLES-52277,SLES_522.77,RS2 - Riding Spirits
SLES-52278,SLES_522.78,Mafia
SLES-52279,SLES_522.79,Mafia
SLES-52280,SLES_522.80,Mafia
SLES-52281,SLES_522.81,Mafia
SLES-52282,SLES_522.82,Mafia
SLES-52283,SLES_522.83,Terminator 3 - The Redemption
SLES-52284,SLES_522.84,Deadly Skies III
SLES-52286,SLES_522.86,Tak y el Poder Juju
SLES-52287,SLES_522.87,Tak e la Magia Juju
SLES-52288,SLES_522.88,Tom Clancy's Rainbow Six 3
SLES-52289,SLES_522.89,MTX Mototrax
SLES-52290,SLES_522.90,MTX Mototrax
SLES-52291,SLES_522.91,Countryside Bears
SLES-52292,SLES_522.92,Mighty Mulan
SLES-52293,SLES_522.93,Son of the Lion King
SLES-52294,SLES_522.94,The Toys Room
SLES-52295,SLES_522.95,Master Chess
SLES-52298,SLES_522.98,IndyCar Series 2005
SLES-52308,SLES_523.08,Karaoke Stage
SLES-52309,SLES_523.09,R - Racing
SLES-52310,SLES_523.10,Energy Airforce
SLES-52312,SLES_523.12,World Championship Rugby
SLES-52313,SLES_523.13,Space Invaders Anniversary
SLES-52314,SLES_523.14,Hugo - Bukkazoom
SLES-52322,SLES_523.22,Drakengard
SLES-52323,SLES_523.23,Richard Burns Rally
SLES-52325,SLES_523.25,Champions of Norrath
SLES-52326,SLES_523.26,Spawn Armaggedon
SLES-52336,SLES_523.36,Max Payne 2: The Fall of Max Payne
SLES-52337,SLES_523.37,Max Payne 2 - The Fall of Max Payne
SLES-52338,SLES_523.38,Max Payne 2: The Fall of Max Payne
SLES-52339,SLES_523.39,Crash 'n Burn
SLES-52340,SLES_523.40,Rollercoaster World
SLES-52341,SLES_523.41,The X-Files: Resist or Serve
SLES-52342,SLES_523.42,Worms Forts - Under Siege
SLES-52343,SLES_523.43,Midway Arcade Treasures
SLES-52346,SLES_523.46,Retro Classics - 8 Arcade Classics from Yesteryears
SLES-52348,SLES_523.48,Seven Samurai 20XX
SLES-52349,SLES_523.49,INTERNATIONAL GOLF PRO
SLES-52350,SLES_523.50,INTERNATIONAL GOLF PRO
SLES-52358,SLES_523.58,Glass Rose
SLES-52362,SLES_523.62,Bad Boys II
SLES-52363,SLES_523.63,Bad Boys II
SLES-52366,SLES_523.66,America's 10 Most Wanted
SLES-52367,SLES_523.67,America's 10 Most Wanted
SLES-52368,SLES_523.68,AFL Live Premiership Edition
SLES-52369,SLES_523.69,Empires of Atlantis
SLES-52370,SLES_523.70,The Mouse Police
SLES-52371,SLES_523.71,Animal World Soccer
SLES-52372,SLES_523.72,Spider-Man 2
SLES-52373,SLES_523.73,Champions of Norrath
SLES-52374,SLES_523.74,Fight Night 2004
SLES-52378,SLES_523.78,EURO RALLY CHAMPION
SLES-52379,SLES_523.79,Shrek 2
SLES-52380,SLES_523.80,Shrek 2
SLES-52381,SLES_523.81,DreamWorks' Shrek 2
SLES-52382,SLES_523.82,Shrek 2
SLES-52383,SLES_523.83,Shrek 2
SLES-52384,SLES_523.84,Project Zero 2 - Crimson Butterfly
SLES-52385,SLES_523.85,England International Football
SLES-52386,SLES_523.86,World Championship Snooker 2004
SLES-52387,SLES_523.87,SpyHunter 2
SLES-52388,SLES_523.88,Transformers
SLES-52393,SLES_523.93,Pinball Fun
SLES-52394,SLES_523.94,UEFA Euro 2004 Portugal
SLES-52395,SLES_523.95,UEFA Euro 2004 Portugal
SLES-52396,SLES_523.96,UEFA Euro 2004: Portugal
SLES-52397,SLES_523.97,UEFA Euro 2004 Portugal
SLES-52398,SLES_523.98,UEFA Euro 2004 Portugal
SLES-52402,SLES_524.02,Perfect Ace 2 - The Championships
SLES-52403,SLES_524.03,Formula Challenge
SLES-52404,SLES_524.04,MTV Music Generator 3
SLES-52413,SLES_524.13,Malice
SLES-52418,SLES_524.18,Powerdrome
SLES-52433,SLES_524.33,Goblin Commander - Unleash The Horde
SLES-52439,SLES_524.39,The Suffering
SLES-52440,SLES_524.40,Harry Potter And The Prisioner of Azkaban
SLES-52444,SLES_524.44,Hyper Street Fighter II - The Anniversary Edition
SLES-52445,SLES_524.45,Silent Hill 4 - The ROOM
SLES-52446,SLES_524.46,Mashed - Drive and Survive
SLES-52447,SLES_524.47,Spider-Man 2
SLES-52448,SLES_524.48,Knight's of the Temple
SLES-52449,SLES_524.49,Kidz Sports Basketball
SLES-52450,SLES_524.50,Serious Sam - Next Encounter
SLES-52451,SLES_524.51,CONAN
SLES-52457,SLES_524.57,Shrek 2
SLES-52458,SLES_524.58,Disgaea - Hour of Darkness
SLES-52459,SLES_524.59,Autobahn Raser - Das Spiel zum Film
SLES-52466,SLES_524.66,RIBBIT KING
SLES-52467,SLES_524.67,Dot Hack Part 2: Mutation
SLES-52468,SLES_524.68,Dot Hack Part 4: Quarantine
SLES-52469,SLES_524.69,.Hack Part 3 - Outbreak
SLES-52471,SLES_524.71,Naval Ops - Commander
SLES-52472,SLES_524.72,Project Minerva
SLES-52477,SLES_524.77,Vegas Casino II
SLES-52478,SLES_524.78,Red Dead Revolver
SLES-52479,SLES_524.79,Samurai Jack - The Shadow of Aku
SLES-52480,SLES_524.80,Yu-Gi-Oh! - The Duelists of the Roses
SLES-52481,SLES_524.81,Hot Wheels - Stunt Track Challenge
SLES-52482,SLES_524.82,Steel Dragon EX
SLES-52483,SLES_524.83,World Championship Pool 2004
SLES-52486,SLES_524.86,Astro Boy
SLES-52490,SLES_524.90,Dance: UK eXtra Trax
SLES-52493,SLES_524.93,Spider-Man 2
SLES-52495,SLES_524.95,Bujingai: Swordmaster
SLES-52504,SLES_525.04,Trivial Pursuit: Unhinged
SLES-52505,SLES_525.05,SPY FICTION
SLES-52507,SLES_525.07,Def Jam - Fight for New York
SLES-52508,SLES_525.08,OBSCURE
SLES-52509,SLES_525.09,Tiger Woods PGA Tour 2005
SLES-52510,SLES_525.10,NEO CONTRA
SLES-52511,SLES_525.11,Headhunter: Redemption
SLES-52512,SLES_525.12,Headhunter Redemption
SLES-52515,SLES_525.15,Ultimate Casino
SLES-52516,SLES_525.16,World Fighting
SLES-52517,SLES_525.17,Radio Helicopter
SLES-52518,SLES_525.18,Motorbike King
SLES-52519,SLES_525.19,Pink Pong
SLES-52520,SLES_525.20,Volleyball Challenge
SLES-52521,SLES_525.21,Adiboo and the Energy Thieves
SLES-52523,SLES_525.23,Cocoto - Platform Jumper
SLES-52524,SLES_525.24,Mortal Kombat – Shaolin Monks
SLES-52525,SLES_525.25,Mouse Trophy
SLES-52527,SLES_525.27,Harry Potter og Fangen fra Azkaban
SLES-52531,SLES_525.31,THE SUFFERING
SLES-52532,SLES_525.32,Aces of War
SLES-52533,SLES_525.33,Zoo Puzzle
SLES-52534,SLES_525.34,Crimson Tears
SLES-52535,SLES_525.35,Rumble Roses
SLES-52536,SLES_525.36,DreamWorks Shark Tale
SLES-52537,SLES_525.37,DreamWorks' Shark Tale
SLES-52539,SLES_525.39,DreamWorks' Shark Tale
SLES-52541,SLES_525.41,Grand Theft Auto: San Andreas
SLES-52542,SLES_525.42,All Music Dance!
SLES-52544,SLES_525.44,Trivial Pursuit - Unhinged
SLES-52545,SLES_525.45,Star Wars - Battlefront
SLES-52546,SLES_525.46,Star Wars - Battlefront
SLES-52547,SLES_525.47,Star Wars - Battlefront
SLES-52551,SLES_525.51,Samurai Warriors
SLES-52552,SLES_525.52,Samurai Warriors
SLES-52553,SLES_525.53,Samurai Warriors
SLES-52554,SLES_525.54,Samurai Warriors
SLES-52555,SLES_525.55,Samurai Warriors
SLES-52556,SLES_525.56,Crimson Sea 2
SLES-52557,SLES_525.57,Crimson Sea 2
SLES-52558,SLES_525.58,Crimson Sea 2
SLES-52559,SLES_525.59,FIFA Football 2005
SLES-52560,SLES_525.60,FIFA Football 2005
SLES-52561,SLES_525.61,Fifa 2005
SLES-52562,SLES_525.62,FIFA Football 2005
SLES-52563,SLES_525.63,Fifa 2005
SLES-52567,SLES_525.67,Catwoman
SLES-52568,SLES_525.68,CRASH TWINSANITY
SLES-52569,SLES_525.69,Spyro - A Hero's Tale
SLES-52570,SLES_525.70,AREA 51
SLES-52571,SLES_525.71,Pacific Warriors II - Dogfight
SLES-52572,SLES_525.72,Operation Air Assault
SLES-52573,SLES_525.73,Conflict: Global Storm
SLES-52576,SLES_525.76,Yu-Gi-Oh! - Capsule Monster Colisee
SLES-52579,SLES_525.79,Showdown - Legends of Wrestling
SLES-52581,SLES_525.81,Madden NFL 2005
SLES-52584,SLES_525.84,Burnout 3 - Takedown
SLES-52585,SLES_525.85,Burnout 3 - Takedown
SLES-52587,SLES_525.87,Army Men - Sarge's War
SLES-52588,SLES_525.88,Mercenaries - Playground of Destruction
SLES-52589,SLES_525.89,Mercenaries: Playground of Destruction
SLES-52590,SLES_525.90,Mercenaries - Playground of Destruction
SLES-52591,SLES_525.91,Dynasty Warriors 4: Empires
SLES-52592,SLES_525.92,Dynasty Warriors 4: Empires
SLES-52593,SLES_525.93,Dynasty Warriors 4 - Empires
SLES-52594,SLES_525.94,U-Move SuperSports
SLES-52598,SLES_525.98,Dance Stage Fusion
SLES-52599,SLES_525.99,Metal Slug 3
SLES-52600,SLES_526.00,Harry Potter And The Prisioner of Azkaban
SLES-52601,SLES_526.01,Ex Zeus
SLES-52602,SLES_526.02,GT Racers
SLES-52603,SLES_526.03,Room Zoom - Race for Impact
SLES-52605,SLES_526.05,The Polar Express
SLES-52616,SLES_526.16,Video Poker & Blackjack
SLES-52617,SLES_526.17,Stock Car Speedway
SLES-52620,SLES_526.20,Guncon 2
SLES-52621,SLES_526.21,Tony Hawk's Underground 2
SLES-52622,SLES_526.22,Tony Hawk's Underground 2
SLES-52624,SLES_526.24,X-Men Legends
SLES-52625,SLES_526.25,X-Men Legends
SLES-52628,SLES_526.28,NBA Ballers
SLES-52630,SLES_526.30,Conflict: Vietnam
SLES-52631,SLES_526.31,DIGIMON RUMBLE ARENA 2
SLES-52636,SLES_526.36,Colin McRae Rally 2005
SLES-52637,SLES_526.37,Toca Race Driver 2
SLES-52638,SLES_526.38,DTM Racer Driver 2
SLES-52639,SLES_526.39,V8 Supercars Race Driver 2
SLES-52640,SLES_526.40,Dance UK - XL
SLES-52641,SLES_526.41,Leisure Suit Larry: Magna Cum Laude
SLES-52642,SLES_526.42,Leisure Suit Larry: Magna Cum Laude
SLES-52643,SLES_526.43,Leisure Suit Larry: Magna Cum Laude
SLES-52644,SLES_526.44,Leisure Suit Larry: Magna Cum Laude
SLES-52645,SLES_526.45,Leisure Suit Larry: Magna Cum Laude
SLES-52646,SLES_526.46,Tom Clancy's Ghost Recon 2
SLES-52647,SLES_526.47,Club Football 2005 - Manchester United
SLES-52648,SLES_526.48,Club Football 2005 - Borussia Dortmund
SLES-52649,SLES_526.49,Club Football 2005 - Olympique de Marseille
SLES-52650,SLES_526.50,Club Football 2005 - Juventus
SLES-52651,SLES_526.51,Club Football 2005 - FC Barcelona
SLES-52652,SLES_526.52,Club Football 2005 - Liverpool FC
SLES-52653,SLES_526.53,Club Football 2005 - Liverpool FC
SLES-52654,SLES_526.54,Club Football 2005: Real Madrid
SLES-52655,SLES_526.55,Club Football 2005 - FC Bayern Munchen
SLES-52656,SLES_526.56,Club Football 2005 - AC Milan
SLES-52657,SLES_526.57,Club Football 2005 - Arsenal CF
SLES-52658,SLES_526.58,Club Football 2005 - Hamburg SV
SLES-52659,SLES_526.59,Club Football 2005 - Paris Saint-Germain
SLES-52660,SLES_526.60,Club Football 2005 - FC Internazionale
SLES-52661,SLES_526.61,Club Football 2005 - Ajax Amsterdam
SLES-52662,SLES_526.62,Club Football 2005 - Newcastle United
SLES-52663,SLES_526.63,Club Football 2005 - Chelsea FC
SLES-52664,SLES_526.64,Club Football 2005 - Rangers
SLES-52665,SLES_526.65,Club Football 2005 - Celtic FC
SLES-52666,SLES_526.66,Club Football 2005 - Tottenham Hotspur
SLES-52667,SLES_526.67,Club Football 2005 - Birmingham City
SLES-52668,SLES_526.68,Club Football 2005 - Aston Villa
SLES-52669,SLES_526.69,Forgotten Realms: Demon Stone
SLES-52670,SLES_526.70,Second Sight
SLES-52671,SLES_526.71,Ghost Master: The Gravenville Chronicles
SLES-52673,SLES_526.73,NHL 2005
SLES-52674,SLES_526.74,Total Club Manager 2005
SLES-52675,SLES_526.75,Hugo Cannon Cruise
SLES-52678,SLES_526.78,Viewtiful Joe
SLES-52680,SLES_526.80,Intellivision Lives - The History of Video Gaming
SLES-52684,SLES_526.84,Cyclone Circus - Power Sail Racing
SLES-52685,SLES_526.85,The Polar Express
SLES-52686,SLES_526.86,Backyard Wrestling 2 - There Goes the Neighborhood
SLES-52693,SLES_526.93,LMA Manager 2005
SLES-52694,SLES_526.94,BDFL Manager 2005
SLES-52695,SLES_526.95,Roger Lemerre - La Selection des Champions 2005
SLES-52696,SLES_526.96,Football Manager - Campionato 2005
SLES-52697,SLES_526.97,Mánager de Liga 2005
SLES-52700,SLES_527.00,Jimmy Neutron - Boy Genius - Attack of the Twonkees
SLES-52701,SLES_527.01,Future Tactics - The Uprising
SLES-52702,SLES_527.02,Psi-Ops: The Mindgate Conspiracy
SLES-52703,SLES_527.03,Psi-Ops - The Mindgate Conspiracy
SLES-52705,SLES_527.05,Mortal Kombat – Deception
SLES-52706,SLES_527.06,Mortal Kombat: Deception
SLES-52707,SLES_527.07,Monster Hunter
SLES-52709,SLES_527.09,Ty - The Tazmanian Tiger 2 - Bush Rescue
SLES-52710,SLES_527.10,McFarlane's Evil Prophecy
SLES-52711,SLES_527.11,Titeuf Mega Compet
SLES-52713,SLES_527.13,NBA Live 2005
SLES-52714,SLES_527.14,Board Game Gallery
SLES-52716,SLES_527.16,The Energy Thieves
SLES-52717,SLES_527.17,Brian Lara International Cricket 2005
SLES-52718,SLES_527.18,FIGHT CLUB
SLES-52719,SLES_527.19,Under the Skin
SLES-52720,SLES_527.20,Ford Racing 3
SLES-52722,SLES_527.22,Kidz Sports Ice Hockey
SLES-52725,SLES_527.25,Need for Speed - Underground 2
SLES-52726,SLES_527.26,NBA Live 2005
SLES-52727,SLES_527.27,NBA Live 2005
SLES-52729,SLES_527.29,Animaniacs: The Great Edgar Hunt
SLES-52730,SLES_527.30,Dragon Ball Z: Budokai 3
SLES-52731,SLES_527.31,One Piece: Round the Land!
SLES-52733,SLES_527.33,Driven to Destruction
SLES-52734,SLES_527.34,Worms Forts - Under Siege
SLES-52737,SLES_527.37,OBSCURE
SLES-52738,SLES_527.38,OBSCURE
SLES-52745,SLES_527.45,Hugo Cannon Cruise
SLES-52746,SLES_527.46,Hugo: CannonCruise
SLES-52747,SLES_527.47,The Dukes of Hazzard - Return of the General Lee
SLES-52749,SLES_527.49,Habitrail Hamster Ball
SLES-52750,SLES_527.50,Monster Trux Extreme - Arena Edition
SLES-52751,SLES_527.51,Off-Road Extreme
SLES-52752,SLES_527.52,Playboy - The Mansion
SLES-52753,SLES_527.53,FLATOUT
SLES-52754,SLES_527.54,FLATOUT
SLES-52755,SLES_527.55,Blood Will Tell - Osamu’s Tezuka Dororo
