"sep=,"
ID,ID2,Title
SCAJ-20149,SCAJ_201.49,KINGDOM HEARTS - FINAL MIX [ULTIMATE HITS]
SCAJ-20150,SCAJ_201.50,Critical Velocity
SCAJ-20151,SCAJ_201.51,MotoGP 4
SCAJ-20152,SCAJ_201.52,Urban Reign
SCAJ-20153,SCAJ_201.53,Code Age Commanders
SCAJ-20154,SCAJ_201.54,Prince of Persia - Kenshi no Kokoro
SCAJ-20155,SCAJ_201.55,Yoshitsune Eiyuuden Shura - The Story of Hero Yoshitsune Shura
SCAJ-20156,SCAJ_201.56,Gallop Racer 8 - Live Horse Racing
SCAJ-20157,SCAJ_201.57,Ratchet & Clank 4th - GiriGiri Ginga no Giga Battle
SCAJ-20158,SCAJ_201.58,Ikusa Gami
SCAJ-20159,SCAJ_201.59,SOUL CALIBUR III
SCAJ-20160,SCAJ_201.60,Yoshitsuneki
SCAJ-20161,SCAJ_201.61,Siren 2
SCAJ-20162,SCAJ_201.62,ROGUE GALAXY
SCAJ-20163,SCAJ_201.63,TALES OF THE ABYSS
SCAJ-20164,SCAJ_201.64,Kingdom Hearts II
SCAJ-20165,SCAJ_201.65,Bleach - Hanatareshi Yabou
SCAJ-20166,SCAJ_201.66,Front Mission 5 - Scars of the War
SCAJ-20167,SCAJ_201.67,Siren 2
SCAJ-20168,SCAJ_201.68,Rule of Rose
SCAJ-20169,SCAJ_201.69,FINAL FANTASY VII - DIRGE OF CERBERUS
SCAJ-20170,SCAJ_201.70,Tourist Trophy - The Real Riding Simulator
SCAJ-20171,SCAJ_201.71,Zettai Zetsumei Toshi 2 - Itetsuita Kiokutachi
SCAJ-20172,SCAJ_201.72,FINAL FANTASY XII
SCAJ-20173,SCAJ_201.73,Ace Combat Zero: The Belkan War
SCAJ-20175,SCAJ_201.75,Dragon Quest - Shonen Yangus to Fushigi no Dungeon
SCAJ-20176,SCAJ_201.76,Curious George
SCAJ-20177,SCAJ_201.77,Valkyrie Profile 2 - Silmeria
SCAJ-20178,SCAJ_201.78,Saru Get You - Million Monkeys
SCAJ-20179,SCAJ_201.79,Xenosaga Episode III - Also Sprach Zarathustra [2 DISCS]
SCAJ-20181,SCAJ_201.81,MINNA NO TENNIS - EVERYBODY'S TENNIS
SCAJ-20182,SCAJ_201.82,Tales of Destiny
SCAJ-20183,SCAJ_201.83,Wild ARMs - The Vth Vanguard
SCAJ-20184,SCAJ_201.84,SEIKEN DENSETSU 4
SCAJ-20185,SCAJ_201.85,Super Robot Wars Original Generations
SCAJ-20188,SCAJ_201.88,FINAL FANTASY XII INTERNATIONAL ZODIAC - JOB SYSTEM
SCAJ-20190,SCAJ_201.90,GOD OF WAR II
SCAJ-20191,SCAJ_201.91,Super Robot Wars Original Generation Gaiden (Limited Edition)
SCAJ-20192,SCAJ_201.92,Super Robot Wars Original Generation Gaiden
SCAJ-20193,SCAJ_201.93,Tales of Destiny (Director's Cut)(Premium Box)
SCAJ-20194,SCAJ_201.94,Minna no Golf 4 (Playstation 2 The Best Reprint)
SCAJ-20195,SCAJ_201.95,Saru Get You 3
